time,pv,sp
0.0,5,450
1.006,3,450
2.024,1,450
3.018,1,450
4.013,-3,450
4.998,-6,450
6.026,-9,450
7.017,-11,450
8.0,-14,450
9.003,-16,450
10.002,-16,450
11.022,-14,450
12.024,-15,450
13.011,-16,450
14.013,-14,450
15.017,-10,450
16.001,-8,450
17.005,-4,450
18.004,1,450
19.009,5,450
20.007,11,450
21.009,17,450
22.012,20,450
23.002,26,450
24.005,34,450
25.008,38,450
26.007,44,450
27.011,52,450
28.027,59,450
29.0,66,450
30.001,73,450
31.018,78,450
32.021,85,450
33.021,91,450
34.005,98,450
35.017,102,450
36.014,106,450
37.0,112,450
37.999,118,450
39.001,123,450
40.003,129,450
41.022,135,450
42.007,139,450
43.024,143,450
44.012,150,450
45.002,156,450
46.003,160,450
47.006,163,450
48.008,170,450
49.012,176,450
50.01,180,450
51.013,184,450
52.016,188,450
53.007,194,450
54.008,200,450
54.998,204,450
56.0,210,450
57.019,216,450
58.007,220,450
59.024,224,450
60.028,228,450
61.0,232,450
62.005,238,450
63.005,242,450
64.006,246,450
65.001,252,450
66.018,256,450
67.018,262,450
68.019,266,450
69.021,272,450
70.006,277,450
71.002,283,450
72.0,289,450
73.016,293,450
74.004,299,450
75.0,306,450
76.021,312,450
77.023,314,450
78.01,320,450
79.013,326,450
80.027,332,450
81.014,337,450
82.017,342,450
83.002,347,450
84.006,353,450
85.025,359,450
86.009,363,450
87.011,368,450
88.03,373,450
89.002,378,450
90.02,383,450
91.022,388,450
92.01,392,450
93.027,397,450
93.998,403,450
95.007,409,450
96.004,413,450
97.019,418,450
98.018,424,450
99.002,428,450
99.999,433,450
101.002,439,450
102.021,443,450
103.006,449,450
104.025,453,450
105.022,459,450
106.007,463,450
107.026,469,450
107.999,474,450
109.018,480,450
109.999,486,450
111.027,489,450
112.024,495,450
113.007,500,450
114.008,503,450
115.009,507,450
116.026,508,450
117.014,508,450
118.003,507,450
119.007,507,450
120.009,506,450
121.013,503,450
122.016,501,450
123.002,499,450
124.003,497,450
124.999,494,450
126.0,492,450
127.011,489,450
128.01,484,450
129.028,479,450
130.016,474,450
131.003,468,450
132.019,462,450
133.02,456,450
134.025,449,450
135.015,441,450
135.998,434,450
137.002,428,450
138.022,421,450
139.024,412,450
140.005,403,450
141.022,394,450
142.008,390,450
143.01,388,450
144.01,388,450
145.03,389,450
146.001,390,450
147.005,391,450
148.025,393,450
149.012,395,450
150.015,397,450
151.004,399,450
152.005,401,450
153.008,403,450
154.014,407,450
155.028,411,450
156.011,414,450
157.024,416,450
158.006,420,450
159.009,424,450
160.013,429,450
160.998,432,450
162.001,438,450
163.005,441,450
164.024,447,450
165.001,451,450
166.017,457,450
167.022,462,450
168.009,468,450
169.008,474,450
170.008,478,450
171.01,483,450
172.011,487,450
173.012,493,450
174.016,498,450
175.0,503,450
176.003,505,450
177.021,507,450
178.024,507,450
179.028,507,450
179.999,506,450
181.018,505,450
182.019,503,450
183.006,502,450
184.011,500,450
185.008,497,450
186.013,493,450
187.027,491,450
188.008,488,450
189.023,483,450
190.027,480,450
191.0,474,450
192.004,468,450
193.022,463,450
194.024,457,450
195.027,451,450
196.017,451,450
197.004,442,450
198.005,435,450
199.024,428,450
200.007,422,450
201.008,414,450
202.011,408,450
203.013,399,450
204.001,391,450
205.001,391,450
206.021,391,450
207.005,391,450
208.024,392,450
209.026,393,450
210.011,394,450
211.027,396,450
212.013,398,450
213.029,400,450
213.999,402,450
214.997,404,450
216.016,407,450
216.999,409,450
217.999,412,450
219.001,414,450
220.003,419,450
221.007,422,450
222.024,428,450
223.024,431,450
224.01,434,450
225.018,438,450
226.018,443,450
227.02,449,450
228.023,453,450
229.009,459,450
230.023,462,450
231.026,468,450
232.011,474,450
233.015,478,450
234.016,484,450
235.002,487,450
236.017,493,450
237.002,499,450
238.001,502,450
239.002,507,450
240.006,507,450
241.022,508,450
242.002,508,450
243.014,508,450
244.011,507,450
245.001,505,450
246.023,501,450
247.008,500,450
248.003,498,450
249.02,497,450
250.002,494,450
251.017,491,450
252.002,487,450
253.02,482,450
254.005,477,450
255.007,472,450
256.026,466,450
257.027,460,450
258.008,453,450
259.03,447,450
260.026,441,450
260.997,434,450
262.029,427,450
263.016,418,450
264.017,410,450
265.002,401,450
266.002,395,450
267.002,390,450
268.02,387,450
269.024,388,450
270.007,388,450
271.011,389,450
271.997,390,450
273.019,392,450
274.005,394,450
275.02,395,450
276.006,397,450
277.008,400,450
277.998,402,450
279.005,404,450
279.999,408,450
280.998,411,450
282.013,414,450
283.006,417,450
284.001,422,450
285.008,426,450
286.027,430,450
287.028,436,450
288.007,439,450
288.997,444,450
290.006,449,450
291.018,454,450
292.007,459,450
293.006,463,450
294.026,468,450
295.01,472,450
296.028,478,450
296.999,483,450
298.026,489,450
299.027,495,450
300.011,500,450
301.011,502,450
301.999,503,450
303.01,504,450
304.01,504,450
305.006,503,450
306.025,502,450
307.027,501,450
308.021,497,450
309.006,495,450
310.005,491,450
311.005,489,450
312.006,486,450
313.009,482,450
314.01,479,450
315.025,476,450
316.009,470,450
317.013,464,450
317.998,459,450
319.0,453,450
320.028,446,450
321.024,438,450
322.011,430,450
323.006,424,450
324.008,417,450
325.026,410,450
326.015,401,450
327.006,392,450
328.002,386,450
329.028,386,450
330.016,386,450
331.001,387,450
332.019,388,450
333.005,389,450
334.006,390,450
335.023,392,450
