"VarName","TimeString","VarValue","Validity","Time_ms"
"PV","12/4/2025 4:24:04 PM",25.30382,1,45995683377.9977
"PV","12/4/2025 4:24:09 PM",25.30382,1,45995683436.2037
"PV","12/4/2025 4:24:14 PM",25.30382,1,45995683494.294
"PV","12/4/2025 4:24:19 PM",25.30382,1,45995683553.206
"PV","12/4/2025 4:24:24 PM",25.30382,1,45995683612.5694
"PV","12/4/2025 4:24:29 PM",25.30382,1,45995683672.5231
"PV","12/4/2025 4:24:34 PM",25.30382,1,45995683732.5926
"PV","12/4/2025 4:24:40 PM",25.30382,1,45995683792.4421
"PV","12/4/2025 4:24:45 PM",25.30382,1,45995683851.8171
"PV","12/4/2025 4:24:50 PM",25.30382,1,45995683910.5671
"PV","12/4/2025 4:24:55 PM",25.30382,1,45995683969.3287
"PV","12/4/2025 4:25:00 PM",25.30744,1,45995684028.1134
"PV","12/4/2025 4:25:05 PM",25.30382,1,45995684087.4537
"PV","12/4/2025 4:25:10 PM",25.30382,1,45995684146.1111
"PV","12/4/2025 4:25:15 PM",25.30382,1,45995684205.5903
"PV","12/4/2025 4:25:21 PM",25.30382,1,45995684265.162
"PV","12/4/2025 4:25:26 PM",25.31105,1,45995684324.9884
"PV","12/4/2025 4:25:31 PM",25.30382,1,45995684384.5602
"PV","12/4/2025 4:25:36 PM",25.31828,1,45995684443.6806
"PV","12/4/2025 4:25:41 PM",25.30382,1,45995684501.8056
"PV","12/4/2025 4:25:46 PM",25.30382,1,45995684560.5787
"PV","12/4/2025 4:25:51 PM",25.30382,1,45995684619.8958
"PV","12/4/2025 4:25:56 PM",25.30382,1,45995684680.1273
"PV","12/4/2025 4:26:01 PM",25.30382,1,45995684739.375
"PV","12/4/2025 4:26:07 PM",25.30382,1,45995684798.1019
"$RT_OFF$","12/4/2025 4:26:07 PM",0,2,45995684800.7639
"$RT_COUNT$",27,,,,
