time_s,PV,SV
0,29.37645,40
5,29.32943,40
10,29.32943,40
15,29.25347,40
20,29.1305,40
25,29.00752,40
30,29.00752,40
35,29.01114,40
41,29.25347,40
46,29.59346,40
51,29.99494,40
56,30.49045,40
61,31.10532,40
66,31.72381,40
71,32.3423,40
76,33.21036,40
81,33.96629,40
86,34.68605,40
91,35.43475,40
96,36.216,40
101,37.03342,40
106,37.77127,40
111,38.51273,40
116,39.13484,40
121,39.86907,40
126,40.61053,40
131,41.22902,40
136,41.96325,40
141,42.58536,40
146,43.20385,40
151,43.82234,40
156,44.42274,40
161,44.80975,40
166,45.17868,40
171,45.42463,40
176,45.5476,40
181,45.5476,40
186,45.42463,40
191,45.17868,40
196,44.93273,40
201,44.61082,40
206,44.26722,40
211,43.94531,40
216,43.46788,40
221,43.08088,40
226,42.69387,40
231,42.21643,40
236,41.84751,40
241,41.38093,40
246,40.98307,40
251,40.61053,40
256,40.24161,40
261,39.74609,40
266,39.37717,40
271,39.00825,40
276,38.63571,40
281,38.26678,40
286,37.89424,40
291,37.52532,40
296,37.15639,40
301,36.78385,40
306,36.53791,40
311,36.23047,40
316,36.04239,40
321,36.01707,40
326,36.04239,40
331,36.16898,40
336,36.41493,40
341,36.78385,40
346,37.27937,40
351,37.77127,40
357,38.26678,40
362,38.88166,40
367,39.50014,40
372,40.11863,40
377,40.73351,40
382,41.352,40
387,41.97049,40
392,42.64685,40
397,43.20385,40
402,43.82234,40
407,44.43721,40
412,44.91826,40
417,45.17868,40
422,45.42463,40
427,45.54037,40
432,45.42463,40
437,45.30165,40
442,45.05932,40
447,44.80975,40
452,44.43721,40
457,44.06829,40
462,43.57277,40
467,43.13513,40
472,42.70834,40
477,42.33941,40
482,41.84751,40
487,41.47497,40
492,41.10605,40
497,40.61053,40
502,40.24161,40
507,39.74609,40
512,39.37717,40
517,39.1059,40
522,38.63571,40
527,38.26678,40
532,38.02084,40
537,37.64829,40
542,37.33362,40
547,37.03342,40
552,36.78385,40
557,36.41493,40
562,36.16898,40
567,35.91941,40
572,35.56134,40
577,35.34433,40
582,35.18157,40
587,34.932,40
592,34.68605,40
597,34.4401,40
602,34.19416,40
607,33.96991,40
612,33.82162,40
617,33.57566,40
622,33.33695,40
627,33.20313,40
632,32.95718,40
637,32.8342,40
642,32.58825,40
647,32.46528,40
652,32.3423,40
657,32.11082,40
662,31.99146,40
667,31.84679,40
672,31.72381,40
677,31.53212,40
682,31.35489,40
687,31.2283,40
692,31.10532,40
697,30.98235,40
702,30.85938,40
707,30.7364,40
712,30.61343,40
717,30.49045,40
722,30.36386,40
727,30.24088,40
732,30.12876,40
737,29.99855,40
742,29.87919,40
747,29.8575,40
752,29.74899,40
757,29.62601,40
762,29.50304,40
767,29.38368,40
772,29.34751,40
777,29.25347,40
783,29.1305,40
788,29.1088,40
793,29.00752,40
