time_s,PV,SV,kp,ti,td
0,92.04,100.0,4.0,0.0,0.0
5,92.02,100.0,4.0,0.0,0.0
10,92.02,100.0,4.0,0.0,0.0
16,92.02,100.0,4.0,0.0,0.0
21,92.02,100.0,4.0,0.0,0.0
27,92.02,100.0,4.0,0.0,0.0
32,92.02,100.0,4.0,0.0,0.0
37,92.04,100.0,5.0,0.0,0.0
42,94.39,100.0,5.0,0.0,0.0
47,93.35,100.0,5.0,0.0,0.0
52,93.47,100.0,5.0,0.0,0.0
57,93.75,100.0,5.0,0.0,0.0
62,93.42,100.0,6.0,0.0,0.0
67,95.33,100.0,6.0,0.0,0.0
72,94.36,100.0,6.0,0.0,0.0
77,94.51,100.0,6.0,0.0,0.0
82,94.89,100.0,6.0,0.0,0.0
87,94.28,100.0,6.0,0.0,0.0
92,95.14,100.0,7.0,0.0,0.0
97,95.76,100.0,7.0,0.0,0.0
102,94.87,100.0,7.0,0.0,0.0
107,95.89,100.0,7.0,0.0,0.0
112,94.89,100.0,7.0,0.0,0.0
117,95.74,100.0,7.0,0.0,0.0
122,95.15,100.0,7.0,0.0,0.0
128,95.42,100.0,7.0,0.0,0.0
133,95.21,100.0,7.0,0.0,0.0
138,95.37,100.0,7.0,0.0,0.0
143,95.5,100.0,7.0,0.0,0.0
148,95.13,100.0,7.0,0.0,0.0
153,95.65,100.0,7.0,0.0,0.0
158,95.06,100.0,7.0,0.0,0.0
163,95.64,100.0,7.2,0.0,0.0
168,95.32,100.0,7.2,0.0,0.0
173,95.62,100.0,7.2,0.0,0.0
178,95.4,100.0,7.2,0.0,0.0
183,95.52,100.0,7.2,0.0,0.0
189,95.51,100.0,7.2,0.0,0.0
194,95.42,100.0,7.2,0.0,0.0
199,95.63,100.0,7.2,0.0,0.0
204,95.36,100.0,7.2,0.0,0.0
209,95.61,100.0,7.2,0.0,0.0
214,95.4,100.0,7.2,0.0,0.0
219,95.54,100.0,7.2,0.0,0.0
224,95.48,100.0,7.2,0.0,0.0
229,95.46,100.0,7.2,0.0,0.0
234,95.55,100.0,7.2,0.0,0.0
239,95.41,100.0,7.2,0.0,0.0
244,95.57,100.0,7.2,0.0,0.0
249,95.4,100.0,7.2,0.0,0.0
254,95.57,100.0,7.2,0.0,0.0
259,95.43,100.0,7.4,0.0,0.0
264,95.64,100.0,7.4,0.0,0.0
269,95.65,100.0,7.4,0.0,0.0
274,95.51,100.0,7.4,0.0,0.0
279,95.77,100.0,7.4,0.0,0.0
284,95.41,100.0,7.4,0.0,0.0
289,95.82,100.0,7.4,0.0,0.0
294,95.4,100.0,7.4,0.0,0.0
299,95.79,100.0,7.4,0.0,0.0
304,95.48,100.0,7.4,0.0,0.0
309,95.68,100.0,7.4,0.0,0.0
314,95.61,100.0,7.4,0.0,0.0
319,95.54,100.0,7.4,0.0,0.0
324,95.75,100.0,7.4,0.0,0.0
329,95.42,100.0,7.4,0.0,0.0
334,95.82,100.0,7.4,0.0,0.0
339,95.38,100.0,7.4,0.0,0.0
344,95.82,100.0,7.4,0.0,0.0
349,95.43,100.0,7.4,0.0,0.0
354,95.72,100.0,7.4,0.0,0.0
359,95.56,100.0,7.4,0.0,0.0
364,95.56,100.0,7.4,0.0,0.0
369,95.72,100.0,7.4,0.0,0.0
374,95.41,100.0,7.4,0.0,0.0
379,95.84,100.0,7.4,0.0,0.0
384,95.35,100.0,7.4,0.0,0.0
